                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4038,                 2.9942,                  1.862,                0.49024,                0.41497,                0.38218,                0.20716,                  1.716,                 2.5354,                 2.0815,             0.00018318,             0.00018318,             0.00018318
                      2,                  1.279,                 1.9714,                 1.6793,                0.39449,                0.48672,                 0.4416,                0.20655,                 1.8795,                 2.4514,                 2.3993,             0.00036486,             0.00036486,             0.00036486
                      3,                 1.2906,                 1.7325,                 1.7091,                0.34272,                0.57163,                0.43156,                 0.2103,                 1.7552,                 2.3333,                 2.2449,             0.00054288,             0.00054288,             0.00054288
                      4,                 1.2758,                 1.6046,                 1.6908,                0.64504,                0.50183,                0.56096,                0.23833,                 1.9894,                 2.1342,                 2.5309,             0.00053949,             0.00053949,             0.00053949
                      5,                 1.2619,                 1.5161,                 1.6791,                0.56004,                0.68035,                0.66994,                0.37223,                 1.6748,                  1.732,                 2.0898,             0.00053398,             0.00053398,             0.00053398
                      6,                 1.2265,                 1.4239,                 1.6364,                0.53333,                0.56978,                0.57869,                0.28889,                 1.8648,                 1.9853,                  2.305,             0.00052848,             0.00052848,             0.00052848
                      7,                 1.1868,                 1.3399,                 1.6172,                0.67604,                0.64121,                0.68157,                0.38397,                 1.5622,                 1.4617,                 1.9657,             0.00052297,             0.00052297,             0.00052297
                      8,                 1.1788,                  1.259,                 1.5944,                0.60115,                0.59133,                0.66271,                0.39258,                 1.5134,                  1.463,                  1.945,             0.00051747,             0.00051747,             0.00051747
                      9,                 1.1407,                 1.2376,                 1.5927,                0.64581,                0.65223,                0.70119,                0.44829,                 1.3679,                 1.5181,                 1.7973,             0.00051196,             0.00051196,             0.00051196
                     10,                 1.1126,                 1.1789,                 1.5562,                0.59662,                0.71778,                0.70257,                0.39436,                 1.5612,                 1.3813,                 1.9519,             0.00050646,             0.00050646,             0.00050646
                     11,                 1.0943,                 1.1037,                 1.5513,                0.76803,                0.72386,                0.79593,                0.48472,                 1.4254,                 1.1783,                 1.7992,             0.00050096,             0.00050096,             0.00050096
                     12,                 1.0918,                 1.0839,                  1.534,                 0.6237,                0.74502,                0.72218,                0.47354,                 1.3604,                 1.2093,                 1.7815,             0.00049545,             0.00049545,             0.00049545
                     13,                 1.0609,                 1.0516,                 1.5077,                 0.6729,                0.65823,                0.70077,                0.36353,                 1.7609,                 1.4693,                 2.1456,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.0504,                 1.0277,                 1.5239,                0.70291,                0.73462,                0.77441,                0.47259,                 1.3243,                 1.2367,                 1.7042,             0.00048444,             0.00048444,             0.00048444
                     15,                 1.0314,                  1.028,                 1.4945,                0.74339,                0.64287,                0.70385,                0.43222,                  1.475,                 1.4314,                 1.9236,             0.00047894,             0.00047894,             0.00047894
                     16,                 1.0157,                 1.0105,                 1.4894,                0.73045,                0.64507,                0.70647,                0.44451,                  1.352,                 1.4061,                 1.7545,             0.00047343,             0.00047343,             0.00047343
                     17,                 1.0106,                0.95469,                 1.4734,                0.78094,                0.73277,                0.79277,                0.49461,                 1.3952,                  1.135,                 1.7302,             0.00046793,             0.00046793,             0.00046793
                     18,                0.99476,                0.94052,                 1.4479,                0.75835,                 0.7393,                0.76815,                0.51667,                 1.2257,                 1.3278,                 1.6375,             0.00046243,             0.00046243,             0.00046243
                     19,                0.97142,                0.92374,                 1.4419,                0.74613,                0.72742,                0.78397,                0.51797,                 1.2376,                 1.1287,                  1.694,             0.00045692,             0.00045692,             0.00045692
                     20,                0.95963,                0.92048,                 1.4399,                0.66256,                0.76411,                0.72769,                0.48571,                 1.2488,                 1.2278,                 1.7542,             0.00045142,             0.00045142,             0.00045142
                     21,                0.95222,                0.87623,                  1.439,                0.74413,                0.68225,                0.74914,                0.50414,                  1.254,                  1.231,                 1.7263,             0.00044591,             0.00044591,             0.00044591
                     22,                0.94849,                0.87261,                 1.4316,                0.66006,                 0.6911,                0.74014,                0.50395,                 1.1867,                 1.2208,                 1.7248,             0.00044041,             0.00044041,             0.00044041
