                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3841,                 4.2079,                 1.7874,                0.32523,                0.20578,                0.16141,                0.10642,                 1.3324,                  2.826,                 1.7873,              5.109e-05,              5.109e-05,              5.109e-05
                      2,                 1.2544,                 2.7631,                 1.6055,                0.40336,                0.36469,                0.30765,                0.20532,                 1.2164,                 2.2189,                 1.6729,             0.00010141,             0.00010141,             0.00010141
                      3,                 1.2066,                 2.2783,                 1.5591,                0.54277,                0.38941,                0.40478,                0.27492,                 1.2392,                 1.9923,                 1.6924,             0.00015071,             0.00015071,             0.00015071
                      4,                 1.1864,                 1.9968,                 1.5351,                0.50712,                0.47679,                0.43621,                 0.2916,                 1.2019,                 1.9166,                 1.6432,             0.00014943,             0.00014943,             0.00014943
                      5,                 1.1652,                 1.8317,                  1.518,                0.52987,                0.48574,                0.45788,                0.31144,                 1.1707,                 1.8246,                  1.615,              0.0001479,              0.0001479,              0.0001479
                      6,                 1.1327,                 1.7055,                 1.4909,                0.57631,                0.47521,                0.47982,                0.32685,                 1.1738,                 1.7205,                 1.6444,             0.00014638,             0.00014638,             0.00014638
                      7,                 1.1236,                 1.6133,                 1.4904,                0.52288,                0.52107,                0.51474,                0.34325,                  1.169,                 1.6416,                 1.6338,             0.00014485,             0.00014485,             0.00014485
                      8,                 1.0861,                 1.5201,                  1.462,                0.59369,                0.46265,                0.50322,                0.34641,                 1.1738,                 1.6247,                 1.6366,             0.00014333,             0.00014333,             0.00014333
                      9,                 1.0887,                 1.4673,                 1.4593,                0.54904,                0.51675,                0.52572,                0.35382,                 1.1617,                 1.5936,                 1.6383,              0.0001418,              0.0001418,              0.0001418
                     10,                 1.0635,                 1.3866,                 1.4434,                0.57817,                 0.5076,                0.54011,                0.37601,                 1.1505,                 1.5479,                 1.6216,             0.00014028,             0.00014028,             0.00014028
                     11,                 1.0554,                  1.348,                 1.4369,                0.57245,                0.51561,                 0.5386,                0.36874,                 1.1528,                 1.5898,                 1.6166,             0.00013875,             0.00013875,             0.00013875
                     12,                 1.0431,                 1.3108,                 1.4263,                0.59863,                0.55752,                0.55803,                 0.3803,                 1.1577,                 1.5002,                 1.6326,             0.00013723,             0.00013723,             0.00013723
                     13,                 1.0409,                 1.2902,                 1.4258,                 0.5966,                0.52446,                  0.538,                0.36763,                 1.1834,                 1.5449,                 1.6448,              0.0001357,              0.0001357,              0.0001357
                     14,                 1.0293,                 1.2267,                 1.4127,                0.59334,                0.51758,                0.55363,                0.38278,                 1.1546,                 1.5128,                 1.6099,             0.00013418,             0.00013418,             0.00013418
                     15,                 1.0127,                 1.1868,                 1.3997,                0.57494,                0.54954,                0.55533,                0.37797,                 1.1499,                 1.4695,                 1.6132,             0.00013266,             0.00013266,             0.00013266
                     16,                0.99013,                  1.167,                 1.3935,                 0.6427,                0.52113,                 0.5595,                0.38864,                  1.133,                 1.4956,                 1.6327,             0.00013113,             0.00013113,             0.00013113
                     17,                 1.0111,                 1.1654,                 1.4035,                0.64175,                0.54628,                0.57585,                0.39664,                 1.1487,                 1.4327,                 1.6044,             0.00012961,             0.00012961,             0.00012961
                     18,                0.97816,                 1.1012,                 1.3786,                0.62469,                 0.5305,                0.56232,                0.39263,                 1.1342,                 1.4471,                 1.6045,             0.00012808,             0.00012808,             0.00012808
                     19,                 0.9842,                 1.0994,                 1.3725,                 0.5919,                0.54474,                0.56975,                0.39188,                 1.1737,                 1.4445,                 1.6401,             0.00012656,             0.00012656,             0.00012656
                     20,                0.98859,                 1.0827,                 1.3873,                0.60878,                 0.5444,                0.57016,                0.39138,                 1.1433,                 1.4414,                 1.6519,             0.00012503,             0.00012503,             0.00012503
                     21,                0.97382,                 1.0615,                 1.3771,                0.63233,                0.55179,                0.58239,                 0.4091,                  1.122,                  1.432,                 1.6169,             0.00012351,             0.00012351,             0.00012351
                     22,                0.95654,                 1.0341,                 1.3649,                  0.604,                0.54676,                0.57736,                0.39812,                   1.15,                 1.5071,                 1.6323,             0.00012198,             0.00012198,             0.00012198
                     23,                0.96011,                 1.0178,                  1.368,                0.59871,                0.56034,                0.57689,                0.39584,                 1.1592,                 1.4735,                 1.6643,             0.00012046,             0.00012046,             0.00012046
                     24,                0.94741,                 1.0115,                  1.359,                0.60457,                 0.5573,                0.58152,                 0.4071,                 1.1378,                 1.4142,                 1.6495,             0.00011893,             0.00011893,             0.00011893
                     25,                 0.9396,                0.97475,                 1.3458,                0.57818,                0.54259,                 0.5637,                0.39118,                 1.1507,                 1.4644,                 1.6508,             0.00011741,             0.00011741,             0.00011741
                     26,                0.94079,                0.96179,                 1.3546,                0.60653,                0.53839,                0.57663,                0.39888,                 1.1441,                 1.4123,                 1.6588,             0.00011588,             0.00011588,             0.00011588
                     27,                0.91806,                0.94494,                 1.3389,                 0.6432,                0.54774,                0.57131,                 0.3932,                 1.1647,                 1.4515,                 1.6406,             0.00011436,             0.00011436,             0.00011436
                     28,                0.91599,                0.93322,                 1.3311,                0.59586,                0.59128,                0.60145,                0.41402,                 1.1482,                 1.3815,                 1.6652,             0.00011284,             0.00011284,             0.00011284
                     29,                0.92923,                0.93772,                 1.3438,                0.58308,                0.57529,                0.58614,                0.40856,                 1.1469,                 1.4427,                 1.6608,             0.00011131,             0.00011131,             0.00011131
                     30,                0.90715,                 0.9253,                 1.3288,                0.67391,                0.54076,                0.58677,                0.40303,                 1.1498,                 1.4364,                 1.6312,             0.00010979,             0.00010979,             0.00010979
                     31,                 0.9005,                0.89139,                 1.3294,                0.65274,                0.52687,                0.58532,                0.40928,                 1.1525,                   1.41,                 1.6729,             0.00010826,             0.00010826,             0.00010826
                     32,                0.89823,                0.90289,                 1.3311,                0.58619,                0.58134,                 0.5788,                0.40176,                 1.1523,                 1.4776,                 1.6739,             0.00010674,             0.00010674,             0.00010674
                     33,                0.89063,                0.87642,                 1.3234,                0.63479,                0.56029,                0.59766,                0.41622,                 1.1422,                 1.3551,                 1.6748,             0.00010521,             0.00010521,             0.00010521
                     34,                0.87941,                0.85958,                  1.324,                0.60677,                0.55939,                0.59315,                0.41221,                 1.1388,                 1.3981,                 1.6921,             0.00010369,             0.00010369,             0.00010369
                     35,                0.87502,                 0.8563,                 1.3148,                0.62188,                0.56704,                0.58062,                0.40166,                 1.1491,                 1.4213,                 1.7184,             0.00010216,             0.00010216,             0.00010216
                     36,                0.87861,                0.85159,                 1.3178,                0.63537,                0.57592,                0.59117,                0.41421,                 1.1218,                 1.4151,                 1.6567,             0.00010064,             0.00010064,             0.00010064
                     37,                0.87047,                0.83398,                 1.2997,                0.63783,                0.55105,                0.58365,                0.40298,                 1.1578,                 1.4598,                 1.6766,             9.9114e-05,             9.9114e-05,             9.9114e-05
                     38,                0.86709,                0.81843,                 1.2941,                0.61381,                0.59253,                0.60314,                0.41765,                 1.1482,                 1.4211,                 1.6766,              9.759e-05,              9.759e-05,              9.759e-05
                     39,                0.87142,                  0.837,                 1.2966,                0.58195,                0.58729,                0.59027,                0.41044,                 1.1649,                 1.4146,                 1.6724,             9.6065e-05,             9.6065e-05,             9.6065e-05
                     40,                 0.8441,                0.80708,                 1.2843,                 0.6272,                0.55628,                0.58276,                0.40293,                 1.1744,                 1.4567,                  1.716,             9.4541e-05,             9.4541e-05,             9.4541e-05
