                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4813,                 3.0183,                 1.6524,                  0.602,                 0.3867,                0.40634,                0.23466,                 1.6381,                 2.2858,                 1.6211,             0.00018318,             0.00018318,             0.00018318
                      2,                 1.3025,                 1.6639,                 1.5052,                0.51742,                0.52044,                0.57008,                 0.3222,                 1.6717,                 2.1723,                 1.7796,             0.00036486,             0.00036486,             0.00036486
                      3,                 1.2909,                 1.4798,                 1.5038,                 0.4801,                0.69609,                0.62057,                0.30723,                 1.8077,                 1.8142,                 1.8756,             0.00054288,             0.00054288,             0.00054288
                      4,                 1.2772,                 1.3849,                 1.4699,                0.55815,                0.60079,                0.58712,                0.31177,                 1.7198,                 1.7961,                  1.897,             0.00053949,             0.00053949,             0.00053949
                      5,                 1.2727,                 1.3192,                 1.4734,                0.52465,                0.63488,                0.65868,                0.37664,                 1.6565,                 1.6173,                 1.8058,             0.00053398,             0.00053398,             0.00053398
                      6,                 1.2487,                 1.2772,                 1.4479,                 0.6439,                0.58526,                 0.6478,                0.37876,                 1.6905,                 1.6585,                 1.7494,             0.00052848,             0.00052848,             0.00052848
                      7,                 1.2062,                 1.1845,                 1.4381,                0.61756,                0.64468,                0.67571,                0.41237,                 1.3807,                  1.382,                 1.6122,             0.00052297,             0.00052297,             0.00052297
                      8,                  1.198,                 1.1484,                 1.4187,                0.56858,                0.68828,                0.64107,                0.37138,                 1.5671,                 1.4769,                 1.7312,             0.00051747,             0.00051747,             0.00051747
                      9,                 1.1502,                 1.0931,                 1.3918,                0.65027,                 0.6777,                0.71015,                0.44607,                 1.4166,                 1.3003,                 1.6219,             0.00051196,             0.00051196,             0.00051196
                     10,                 1.1152,                 1.0594,                 1.3632,                0.60027,                0.71912,                0.69166,                0.44279,                 1.4113,                 1.3319,                  1.602,             0.00050646,             0.00050646,             0.00050646
                     11,                 1.1188,                 1.0332,                 1.3849,                0.78345,                 0.6926,                0.75231,                0.47417,                 1.5214,                 1.2062,                 1.7157,             0.00050096,             0.00050096,             0.00050096
                     12,                 1.0821,                0.98855,                 1.3555,                0.73481,                0.68596,                0.72992,                0.47445,                 1.4366,                 1.1308,                 1.7046,             0.00049545,             0.00049545,             0.00049545
                     13,                  1.078,                0.97152,                 1.3347,                  0.687,                0.64757,                0.71594,                0.44891,                  1.482,                 1.4008,                   1.65,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.0731,                0.94452,                 1.3557,                0.71593,                0.69625,                0.75991,                0.50876,                 1.2875,                 1.1163,                 1.5218,             0.00048444,             0.00048444,             0.00048444
                     15,                 1.0555,                0.93587,                  1.337,                0.71775,                0.70692,                0.70787,                0.49932,                 1.1525,                 1.1622,                 1.5269,             0.00047894,             0.00047894,             0.00047894
                     16,                 1.0453,                0.92777,                 1.3339,                0.63594,                0.70851,                0.69935,                0.43793,                 1.4374,                  1.239,                 1.6328,             0.00047343,             0.00047343,             0.00047343
                     17,                 1.0272,                0.88663,                 1.3217,                0.77447,                 0.7201,                0.79317,                0.53753,                 1.2409,                 1.0675,                 1.4856,             0.00046793,             0.00046793,             0.00046793
                     18,                 1.0412,                0.88683,                 1.3261,                0.68526,                0.67957,                0.74089,                0.51154,                 1.2422,                 1.2012,                 1.5606,             0.00046243,             0.00046243,             0.00046243
                     19,                 1.0097,                0.87987,                 1.3116,                0.71645,                0.77021,                0.79125,                0.57139,                 1.0684,                0.94805,                 1.4154,             0.00045692,             0.00045692,             0.00045692
                     20,                 1.0131,                0.86389,                 1.3036,                0.77247,                0.71328,                0.77828,                0.53075,                 1.3484,                 1.0863,                 1.5895,             0.00045142,             0.00045142,             0.00045142
                     21,                 1.0009,                0.84204,                 1.3048,                0.68383,                0.73588,                0.73299,                0.52406,                 1.1772,                 1.0482,                 1.5032,             0.00044591,             0.00044591,             0.00044591
                     22,                0.97502,                0.80429,                 1.2864,                0.70039,                0.76613,                0.78446,                0.52507,                 1.3393,                 1.0313,                 1.6298,             0.00044041,             0.00044041,             0.00044041
