                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1013,                 1.1444,                 1.4926,                0.62905,                0.64776,                0.64899,                0.42827,                  1.243,                  1.209,                 1.7316,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.0823,                 1.1319,                 1.4856,                0.60928,                0.62152,                0.63335,                0.41833,                 1.2518,                 1.2347,                 1.7432,             0.00072604,             0.00072604,             0.00072604
                     37,                  1.076,                 1.1148,                 1.4843,                0.58275,                0.64044,                0.63717,                0.42761,                 1.2521,                 1.2468,                 1.7447,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0634,                 1.1265,                 1.4547,                0.57142,                0.64715,                0.64341,                0.42249,                 1.2723,                 1.2657,                 1.7254,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.0732,                 1.0815,                  1.465,                0.61756,                 0.6071,                 0.6314,                0.41787,                 1.2655,                 1.2691,                 1.7686,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.0476,                 1.0958,                 1.4397,                0.58824,                0.62273,                0.65469,                0.43249,                  1.285,                 1.2753,                 1.7854,             0.00068204,             0.00068204,             0.00068204
                     41,                  1.038,                 1.0463,                 1.4588,                0.57939,                0.66593,                0.65942,                0.43454,                 1.2585,                 1.2147,                 1.7543,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.0421,                 1.0422,                 1.4389,                0.62103,                0.63359,                0.65286,                0.42649,                 1.3023,                 1.2414,                  1.779,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.0443,                 1.0479,                 1.4466,                0.56651,                0.69345,                0.65236,                0.43375,                  1.265,                 1.2294,                  1.759,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.0245,                  1.034,                 1.4312,                0.59701,                0.68358,                0.66574,                0.43887,                   1.26,                 1.2021,                 1.7572,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.0353,                 1.0457,                 1.4391,                0.66001,                0.61711,                0.66703,                0.43729,                 1.3017,                 1.2141,                 1.7753,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.0073,                 1.0094,                 1.4232,                0.57984,                0.70112,                0.66764,                0.43599,                 1.2751,                  1.224,                 1.7612,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.0151,                 1.0053,                 1.4215,                0.64521,                0.62567,                0.67099,                0.43728,                 1.2914,                 1.2345,                 1.7868,             0.00060505,             0.00060505,             0.00060505
                     48,                0.99908,                0.98491,                 1.4149,                0.57958,                0.65917,                0.63756,                0.42875,                 1.2461,                  1.306,                 1.7716,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.0016,                0.97217,                 1.4041,                 0.6032,                 0.6676,                 0.6633,                  0.435,                 1.2689,                 1.2126,                 1.7582,             0.00058305,             0.00058305,             0.00058305
                     50,                0.99207,                0.98263,                 1.4108,                0.61753,                0.67034,                0.66735,                0.44012,                 1.2416,                 1.2159,                 1.7512,             0.00057205,             0.00057205,             0.00057205
                     51,                   0.98,                0.97629,                 1.3963,                0.59544,                0.66128,                0.65004,                0.43737,                 1.2407,                 1.2695,                 1.7171,             0.00056105,             0.00056105,             0.00056105
                     52,                0.98822,                0.97908,                 1.4127,                0.60867,                0.67122,                0.66086,                0.43284,                 1.2561,                 1.2419,                  1.752,             0.00055006,             0.00055006,             0.00055006
                     53,                0.97985,                0.95882,                 1.3849,                 0.6271,                0.67373,                0.64691,                0.43497,                 1.2438,                 1.2047,                  1.743,             0.00053906,             0.00053906,             0.00053906
                     54,                0.95715,                0.93447,                  1.383,                0.64974,                 0.6369,                0.66223,                0.44076,                 1.2637,                 1.1773,                 1.7944,             0.00052806,             0.00052806,             0.00052806
                     55,                0.96162,                0.93419,                 1.3817,                0.63273,                0.71334,                 0.6977,                0.46937,                 1.2317,                 1.2045,                 1.7392,             0.00051706,             0.00051706,             0.00051706
                     56,                0.98661,                0.94377,                    1.4,                0.65251,                0.66621,                0.68363,                0.45901,                 1.2499,                 1.1717,                 1.7745,             0.00050606,             0.00050606,             0.00050606
                     57,                0.96123,                0.90706,                 1.3811,                0.65009,                0.68215,                0.68888,                0.46695,                 1.2598,                 1.1151,                 1.7619,             0.00049506,             0.00049506,             0.00049506
                     58,                0.96565,                0.90607,                 1.3818,                0.62334,                  0.634,                0.64321,                0.43117,                 1.2594,                 1.2212,                 1.7388,             0.00048406,             0.00048406,             0.00048406
                     59,                0.95291,                0.90656,                  1.367,                0.56837,                0.71124,                0.66533,                0.44254,                 1.2539,                 1.2128,                 1.7556,             0.00047306,             0.00047306,             0.00047306
                     60,                 0.9371,                0.88133,                  1.373,                0.58988,                 0.7067,                 0.6617,                0.44751,                 1.2351,                 1.2302,                 1.7449,             0.00046206,             0.00046206,             0.00046206
                     61,                0.91833,                0.87617,                 1.3503,                0.62145,                0.66894,                0.67383,                0.45572,                 1.2304,                 1.1886,                 1.7545,             0.00045107,             0.00045107,             0.00045107
                     62,                0.93877,                0.87966,                 1.3558,                0.56105,                0.72757,                0.67213,                  0.448,                 1.2631,                 1.1764,                 1.7884,             0.00044007,             0.00044007,             0.00044007
                     63,                0.92903,                0.86373,                 1.3586,                0.62624,                 0.6872,                0.68685,                0.45801,                 1.2224,                  1.144,                 1.7551,             0.00042907,             0.00042907,             0.00042907
                     64,                0.93287,                0.87011,                 1.3613,                0.66498,                0.63681,                0.68443,                 0.4631,                 1.2301,                 1.1316,                 1.7649,             0.00041807,             0.00041807,             0.00041807
                     65,                 0.9155,                0.82378,                 1.3483,                0.68992,                 0.6368,                 0.6873,                0.46427,                 1.2404,                 1.1473,                 1.7828,             0.00040707,             0.00040707,             0.00040707
                     66,                0.90624,                0.83739,                 1.3388,                0.69696,                0.63561,                0.70245,                 0.4607,                 1.2691,                 1.1449,                 1.7744,             0.00039607,             0.00039607,             0.00039607
                     67,                 0.8964,                0.83249,                 1.3331,                0.63858,                0.67628,                0.68357,                0.46695,                   1.24,                 1.1444,                 1.7615,             0.00038507,             0.00038507,             0.00038507
                     68,                0.91367,                0.86277,                  1.348,                0.63648,                0.68612,                0.69155,                0.45737,                 1.2596,                 1.1375,                 1.8184,             0.00037407,             0.00037407,             0.00037407
                     69,                0.89413,                0.81262,                  1.326,                0.61483,                 0.7127,                0.70287,                0.47877,                 1.2428,                 1.1533,                 1.7839,             0.00036307,             0.00036307,             0.00036307
                     70,                0.87861,                 0.8143,                 1.3202,                0.65789,                0.70994,                0.71093,                0.47575,                 1.2418,                 1.1036,                 1.7904,             0.00035208,             0.00035208,             0.00035208
                     71,                0.88579,                0.80925,                  1.329,                0.71612,                0.63393,                0.70743,                0.47639,                  1.236,                 1.1125,                 1.7813,             0.00034108,             0.00034108,             0.00034108
                     72,                0.89004,                0.78194,                 1.3314,                0.66648,                0.66009,                0.69956,                0.46805,                 1.2603,                  1.151,                 1.8112,             0.00033008,             0.00033008,             0.00033008
                     73,                0.86093,                0.79352,                 1.3094,                0.66556,                0.66249,                0.70099,                0.47007,                  1.263,                 1.1703,                 1.7931,             0.00031908,             0.00031908,             0.00031908
                     74,                0.88236,                0.78358,                 1.3311,                  0.653,                0.65375,                0.68557,                0.46513,                 1.2447,                 1.1383,                 1.7924,             0.00030808,             0.00030808,             0.00030808
                     75,                0.87581,                0.77064,                 1.3131,                0.62913,                0.69386,                0.69911,                0.46743,                 1.2772,                 1.1684,                 1.7967,             0.00029708,             0.00029708,             0.00029708
                     76,                0.85254,                0.76095,                 1.2987,                0.63525,                0.69562,                0.69464,                0.47458,                 1.2591,                 1.1592,                 1.8385,             0.00028608,             0.00028608,             0.00028608
