                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2762,                  2.421,                 1.6401,                0.31856,                0.53467,                0.32753,                0.18738,                 1.4489,                 4.2485,                 1.9649,             0.00036867,             0.00036867,             0.00036867
                      2,                 1.3972,                 2.0513,                 1.7332,                0.36495,                0.41138,                0.29898,                0.15997,                  1.574,                 2.7186,                 2.0839,             0.00073168,             0.00073168,             0.00073168
                      3,                 1.4411,                 2.0248,                 1.7657,                0.26691,                 0.4962,                0.32613,                0.18398,                 1.5695,                 2.4199,                 2.0374,              0.0010874,              0.0010874,              0.0010874
                      4,                 1.4497,                 1.9877,                 1.7616,                0.33655,                 0.4989,                0.38015,                0.21436,                 1.5743,                 2.2292,                   2.02,               0.001078,               0.001078,               0.001078
                      5,                 1.4298,                  1.947,                 1.7664,                0.38005,                0.55074,                0.41734,                  0.236,                 1.5063,                 2.0174,                 1.9435,               0.001067,               0.001067,               0.001067
                      6,                 1.3421,                 1.8323,                 1.6973,                0.41487,                0.55579,                0.44042,                0.25926,                 1.4695,                 1.9255,                 1.9044,               0.001056,               0.001056,               0.001056
                      7,                 1.3402,                 1.7612,                 1.6932,                0.46435,                0.57013,                0.48314,                0.28601,                  1.467,                 1.7941,                  1.965,               0.001045,               0.001045,               0.001045
                      8,                 1.3166,                  1.709,                 1.6866,                0.45953,                0.58049,                 0.4942,                0.28928,                 1.4048,                 1.7812,                 1.9033,               0.001034,               0.001034,               0.001034
                      9,                 1.3105,                 1.6809,                 1.6757,                0.43946,                0.59669,                0.50751,                0.28575,                 1.4802,                 1.6985,                 1.9284,               0.001023,               0.001023,               0.001023
                     10,                 1.3024,                 1.7145,                 1.6625,                0.50996,                0.57119,                0.52564,                0.33425,                 1.3932,                 1.5863,                 1.8632,               0.001012,               0.001012,               0.001012
                     11,                 1.3003,                 1.6342,                 1.6624,                0.46382,                0.61279,                0.52642,                0.32851,                 1.3418,                 1.7627,                 1.8288,               0.001001,               0.001001,               0.001001
                     12,                 1.2816,                 1.5992,                 1.6463,                0.45454,                0.60855,                0.52444,                0.32745,                 1.3896,                 1.6304,                 1.8765,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.2878,                 1.5801,                 1.6442,                0.48715,                 0.6371,                0.53762,                0.31673,                 1.4403,                 1.5631,                 1.8827,             0.00097901,             0.00097901,             0.00097901
                     14,                   1.27,                 1.5286,                 1.6344,                0.49232,                0.57016,                0.53097,                0.32365,                 1.4184,                 1.6382,                 1.8733,             0.00096801,             0.00096801,             0.00096801
