                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5098,                 4.3154,                 1.9759,                0.08547,                0.66091,                0.18205,                0.13792,                 1.3371,                 3.6704,                  1.683,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.3799,                 3.4401,                 1.8742,                0.52578,                0.42142,                0.52838,                0.37313,                 1.5187,                 2.7736,                 1.8501,             9.1901e-05,             9.1901e-05,             9.1901e-05
                      3,                 1.2842,                 2.6423,                 1.7492,                0.45275,                0.73765,                0.68502,                0.42061,                 1.7305,                 2.2455,                 1.9684,             0.00013997,             0.00013997,             0.00013997
                      4,                 1.2137,                 2.2092,                 1.6485,                 0.5991,                0.73596,                0.69588,                0.38026,                 1.8294,                 2.0981,                 2.0419,             0.00018705,             0.00018705,             0.00018705
                      5,                 1.2617,                 1.9092,                  1.679,                 0.7018,                 0.7609,                0.79648,                0.39418,                 1.8435,                 2.0018,                 2.0882,             0.00023315,             0.00023315,             0.00023315
                      6,                 1.2598,                 1.7855,                 1.6221,                0.48475,                0.64267,                0.66366,                0.41928,                   1.76,                 2.0665,                 2.0996,             0.00027825,             0.00027825,             0.00027825
                      7,                 1.2209,                  1.646,                 1.5862,                0.65233,                0.78059,                0.71045,                0.38258,                 1.6986,                 1.8448,                 1.9504,             0.00032236,             0.00032236,             0.00032236
                      8,                 1.2564,                 1.5516,                 1.5622,                0.45615,                0.81337,                0.67093,                0.39618,                 1.7293,                 1.9759,                 1.9733,             0.00036549,             0.00036549,             0.00036549
                      9,                 1.2349,                 1.3623,                 1.5607,                0.91719,                0.81356,                 0.8958,                 0.5878,                 1.6404,                 1.5864,                  1.921,             0.00040762,             0.00040762,             0.00040762
                     10,                 1.1999,                  1.369,                 1.5582,                0.84774,                0.68391,                 0.7198,                0.39872,                 1.7309,                 1.6759,                 1.9822,             0.00044876,             0.00044876,             0.00044876
                     11,                 1.1333,                 1.2335,                 1.4589,                0.62202,                0.89401,                0.85412,                0.54732,                 1.6572,                 1.7412,                 1.9068,             0.00048892,             0.00048892,             0.00048892
                     12,                 1.1807,                 1.2092,                 1.5614,                0.59143,                0.82558,                0.81369,                0.49595,                 1.7862,                 1.7463,                 2.0354,             0.00052808,             0.00052808,             0.00052808
                     13,                  1.153,                  1.197,                 1.4914,                0.76012,                0.84254,                0.85708,                0.49293,                 1.7735,                 1.6976,                 2.0397,             0.00056626,             0.00056626,             0.00056626
                     14,                  1.126,                  1.181,                 1.4299,                 0.7448,                0.80325,                0.82718,                0.49101,                 1.6369,                 1.7654,                 1.9757,             0.00060344,             0.00060344,             0.00060344
                     15,                 1.1648,                 1.1049,                 1.4726,                 0.6939,                 0.5585,                0.79806,                0.46564,                 1.8372,                 1.6475,                 2.2147,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.1157,                 1.0777,                 1.4233,                0.88835,                 0.6264,                 0.6913,                0.40584,                 1.8259,                 1.6055,                 2.1705,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.1324,                 1.1139,                 1.4724,                0.84068,                0.77611,                0.81116,                0.48354,                 1.6774,                 1.4057,                 2.0515,              0.0006009,              0.0006009,              0.0006009
                     18,                  1.093,                   1.05,                 1.4726,                0.72769,                0.78149,                0.88459,                0.59087,                 1.6237,                 1.2174,                 1.9437,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.1566,                 1.0798,                 1.4864,                0.73224,                0.86303,                0.85609,                0.45079,                 1.8412,                 1.5121,                 2.2486,             0.00058677,             0.00058677,             0.00058677
                     20,                  1.149,                0.99907,                 1.4189,                0.70938,                 0.7218,                0.75927,                0.50905,                 1.8905,                 1.4409,                 2.2443,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0535,                  0.871,                  1.402,                0.72974,                0.73704,                0.77075,                0.49237,                 1.8706,                 1.4725,                 2.1715,             0.00057263,             0.00057263,             0.00057263
