                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7701,                 8.7059,                 2.7552,                0.54365,                0.19618,                0.16779,                0.10484,                 2.5998,                 5.0048,                 2.7609,              0.0033202,              0.0033202,              0.0033202
                      2,                 2.6263,                 4.6311,                  2.577,                0.57724,                0.27975,                0.27471,                0.16709,                 2.5637,                 4.4355,                 2.6239,              0.0065876,              0.0065876,              0.0065876
                      3,                 2.7378,                 4.4081,                 2.6521,                0.57992,                0.19939,                0.18982,                0.11236,                 2.8035,                  6.179,                 2.9142,              0.0097891,              0.0097891,              0.0097891
                      4,                 2.8849,                 4.6086,                 2.7364,                0.40183,                0.26374,                0.25069,                0.15067,                 2.8361,                 5.0209,                 2.9251,               0.009703,               0.009703,               0.009703
                      5,                 2.8083,                 4.2144,                 2.7072,                0.50194,                0.30579,                0.29426,                0.18471,                 2.6859,                 4.3872,                 2.7908,               0.009604,               0.009604,               0.009604
                      6,                  2.732,                 3.8442,                 2.6721,                0.46087,                0.34237,                 0.3548,                0.22733,                  2.613,                 4.0531,                 2.6935,               0.009505,               0.009505,               0.009505
                      7,                 2.6821,                 3.6219,                 2.6456,                 0.4931,                0.38642,                 0.3834,                0.24323,                 2.5789,                  3.563,                 2.6841,               0.009406,               0.009406,               0.009406
                      8,                 2.6193,                 3.4811,                 2.6112,                0.51773,                0.39408,                0.39794,                0.26327,                  2.477,                 3.4904,                 2.6393,               0.009307,               0.009307,               0.009307
                      9,                 2.5766,                 3.3076,                 2.5871,                0.55121,                  0.445,                0.47279,                0.32016,                 2.4409,                 3.1764,                 2.5587,               0.009208,               0.009208,               0.009208
                     10,                 2.5445,                 3.1393,                 2.5628,                0.58592,                0.39602,                0.42523,                 0.2833,                 2.4838,                 3.3294,                 2.6152,               0.009109,               0.009109,               0.009109
                     11,                 2.4796,                 2.9823,                 2.5332,                0.54476,                0.40524,                0.42202,                0.27916,                 2.4801,                 3.4687,                 2.6184,                0.00901,                0.00901,                0.00901
                     12,                 2.4569,                 2.9335,                 2.5254,                0.60107,                0.45831,                0.50615,                0.34603,                  2.346,                  2.809,                 2.5258,               0.008911,               0.008911,               0.008911
                     13,                 2.4472,                 2.8672,                 2.5234,                0.59668,                0.45438,                0.49532,                0.33023,                 2.3312,                 2.9433,                 2.4913,               0.008812,               0.008812,               0.008812
                     14,                 2.4265,                 2.7676,                 2.5061,                0.62412,                0.46114,                0.52102,                0.36316,                  2.333,                  2.666,                 2.4827,               0.008713,               0.008713,               0.008713
                     15,                 2.4034,                 2.6994,                 2.4904,                0.63524,                0.48681,                0.53312,                0.36977,                  2.349,                 2.7214,                 2.5114,               0.008614,               0.008614,               0.008614
                     16,                 2.3722,                 2.6496,                 2.4778,                0.61617,                 0.5087,                0.54782,                0.37749,                 2.2971,                 2.5846,                 2.4602,               0.008515,               0.008515,               0.008515
                     17,                 2.3461,                 2.5603,                  2.466,                0.64007,                0.47916,                 0.5492,                0.38653,                 2.2631,                 2.5448,                 2.4578,               0.008416,               0.008416,               0.008416
                     18,                 2.3408,                 2.5383,                 2.4649,                0.61308,                0.51031,                0.56077,                0.39064,                 2.2625,                 2.5488,                 2.4579,               0.008317,               0.008317,               0.008317
                     19,                 2.3153,                 2.4652,                 2.4403,                0.66693,                 0.4837,                0.56337,                0.40007,                 2.2496,                 2.5562,                 2.4202,               0.008218,               0.008218,               0.008218
                     20,                 2.3197,                 2.4558,                 2.4504,                0.65739,                0.50543,                0.58346,                0.40954,                 2.2427,                 2.4863,                 2.4653,               0.008119,               0.008119,               0.008119
                     21,                 2.2951,                 2.3592,                 2.4295,                0.68884,                0.51227,                0.60562,                0.43205,                 2.2273,                 2.3773,                 2.4296,                0.00802,                0.00802,                0.00802
                     22,                 2.2623,                 2.3612,                 2.4089,                 0.6604,                0.55371,                 0.6225,                0.43696,                 2.2269,                 2.3033,                 2.4122,               0.007921,               0.007921,               0.007921
                     23,                 2.2434,                 2.3054,                 2.4074,                0.65145,                0.57612,                0.63064,                0.44903,                 2.1721,                 2.2795,                 2.3756,               0.007822,               0.007822,               0.007822
                     24,                 2.2634,                 2.2778,                 2.4089,                0.63805,                0.57943,                0.63091,                 0.4441,                 2.2233,                 2.2821,                 2.4099,               0.007723,               0.007723,               0.007723
                     25,                 2.2374,                 2.2269,                 2.4064,                  0.642,                0.59214,                0.63521,                0.45669,                 2.1801,                 2.2215,                 2.4083,               0.007624,               0.007624,               0.007624
                     26,                 2.2356,                  2.175,                 2.3938,                0.61831,                0.61197,                 0.6549,                0.46778,                 2.1934,                 2.2486,                 2.3953,               0.007525,               0.007525,               0.007525
                     27,                  2.202,                 2.1548,                 2.3804,                0.63665,                 0.5909,                0.64635,                0.46421,                 2.1658,                 2.2056,                 2.3731,               0.007426,               0.007426,               0.007426
                     28,                 2.1826,                 2.1058,                 2.3667,                0.67229,                0.58608,                0.67089,                0.48119,                 2.1778,                 2.1156,                 2.3807,               0.007327,               0.007327,               0.007327
                     29,                 2.1807,                 2.1139,                 2.3721,                0.69461,                0.59778,                0.67624,                0.48976,                 2.1623,                 2.1033,                   2.37,               0.007228,               0.007228,               0.007228
                     30,                 2.1681,                 2.0617,                 2.3503,                0.66364,                0.61148,                0.66389,                0.47687,                 2.1765,                 2.0984,                 2.3936,               0.007129,               0.007129,               0.007129
                     31,                 2.1693,                  2.058,                 2.3586,                0.66557,                0.61125,                0.68008,                0.48331,                 2.1706,                  2.124,                 2.4009,                0.00703,                0.00703,                0.00703
                     32,                 2.1532,                 2.0447,                 2.3522,                0.70863,                0.64346,                0.71017,                0.50891,                 2.1429,                 2.0329,                  2.372,               0.006931,               0.006931,               0.006931
                     33,                 2.1218,                 1.9858,                 2.3467,                0.68588,                 0.6493,                 0.7099,                0.51814,                 2.1269,                 1.9896,                 2.3625,               0.006832,               0.006832,               0.006832
                     34,                 2.1351,                 1.9759,                 2.3343,                0.74374,                0.62155,                 0.7051,                0.50982,                  2.141,                 2.0144,                 2.3517,               0.006733,               0.006733,               0.006733
                     35,                  2.119,                 1.9249,                 2.3334,                 0.6576,                0.67029,                 0.7173,                0.52284,                 2.1102,                 1.9853,                 2.3493,               0.006634,               0.006634,               0.006634
                     36,                 2.0938,                 1.8882,                 2.3158,                0.71916,                0.63457,                0.70966,                 0.5097,                 2.1264,                 2.0055,                 2.3522,               0.006535,               0.006535,               0.006535
                     37,                  2.084,                 1.8745,                 2.3145,                0.69824,                0.67845,                0.72569,                0.53426,                 2.0942,                 1.9651,                 2.3445,               0.006436,               0.006436,               0.006436
                     38,                 2.0809,                 1.8714,                 2.3119,                 0.7319,                0.66788,                0.73939,                0.54192,                 2.1024,                 1.9166,                 2.3575,               0.006337,               0.006337,               0.006337
                     39,                 2.0716,                 1.8591,                 2.3055,                0.71661,                0.67318,                 0.7278,                0.53069,                 2.0841,                  1.908,                 2.3221,               0.006238,               0.006238,               0.006238
                     40,                 2.0711,                 1.8263,                 2.2955,                0.72956,                0.67167,                0.74569,                0.54692,                 2.0976,                 1.9238,                 2.3288,               0.006139,               0.006139,               0.006139
                     41,                 2.0639,                 1.8284,                 2.3045,                0.75695,                0.65114,                 0.7443,                0.54614,                 2.0889,                 1.9044,                 2.3198,                0.00604,                0.00604,                0.00604
                     42,                 2.0501,                 1.7881,                  2.293,                0.76177,                0.64951,                0.75265,                0.55707,                 2.0712,                 1.9123,                 2.3099,               0.005941,               0.005941,               0.005941
                     43,                 2.0553,                 1.7883,                 2.2924,                0.72102,                0.68389,                 0.7492,                0.55244,                 2.0671,                 1.9083,                  2.298,               0.005842,               0.005842,               0.005842
                     44,                   2.03,                 1.7562,                 2.2831,                0.75291,                 0.6856,                0.75164,                0.55466,                  2.076,                 1.8672,                 2.3285,               0.005743,               0.005743,               0.005743
                     45,                 2.0087,                 1.7208,                 2.2688,                0.80437,                0.64401,                0.76184,                0.55762,                 2.0721,                 1.8565,                 2.3129,               0.005644,               0.005644,               0.005644
                     46,                 2.0164,                 1.7465,                 2.2758,                0.77037,                0.68403,                0.76611,                0.56732,                 2.0713,                 1.8617,                 2.3195,               0.005545,               0.005545,               0.005545
                     47,                 1.9965,                  1.716,                 2.2659,                0.76731,                0.67063,                0.75657,                0.55805,                 2.0627,                 1.8568,                 2.3165,               0.005446,               0.005446,               0.005446
                     48,                 1.9997,                 1.6603,                 2.2656,                 0.7787,                0.67878,                0.76386,                0.56616,                  2.036,                 1.8448,                 2.2931,               0.005347,               0.005347,               0.005347
                     49,                 1.9735,                 1.6542,                  2.259,                0.74946,                0.71331,                0.76851,                0.57409,                 2.0512,                 1.7627,                 2.3058,               0.005248,               0.005248,               0.005248
                     50,                 1.9754,                 1.6481,                 2.2525,                0.73205,                0.71589,                0.77352,                0.57154,                  2.042,                 1.7469,                 2.2971,               0.005149,               0.005149,               0.005149
                     51,                 1.9729,                 1.6449,                 2.2531,                0.71527,                0.73386,                0.76888,                0.57077,                 2.0412,                 1.7705,                 2.3044,                0.00505,                0.00505,                0.00505
                     52,                 1.9691,                 1.6453,                 2.2532,                0.76154,                0.70335,                0.76133,                0.56303,                 2.0638,                 1.8248,                 2.3284,               0.004951,               0.004951,               0.004951
                     53,                 1.9591,                 1.6047,                 2.2364,                0.76591,                0.69678,                0.77547,                0.57223,                 2.0535,                 1.7303,                 2.3142,               0.004852,               0.004852,               0.004852
                     54,                  1.941,                  1.604,                 2.2488,                0.78495,                0.69065,                0.77589,                0.57847,                 2.0401,                 1.7566,                 2.3093,               0.004753,               0.004753,               0.004753
                     55,                 1.9362,                 1.5672,                   2.23,                0.75021,                0.70775,                0.77348,                0.57608,                 2.0258,                 1.7628,                 2.2833,               0.004654,               0.004654,               0.004654
                     56,                 1.9264,                 1.5543,                 2.2234,                0.75499,                0.70938,                0.77818,                0.58213,                 2.0303,                 1.7404,                 2.3002,               0.004555,               0.004555,               0.004555
                     57,                  1.917,                 1.5474,                 2.2218,                0.73399,                0.70575,                0.77391,                0.57848,                 2.0168,                 1.7567,                 2.2767,               0.004456,               0.004456,               0.004456
