                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3235,                 3.4732,                 1.4587,                0.60927,                0.30815,                0.31912,                0.21032,                 1.1794,                 2.0673,                 1.3766,              0.0033202,              0.0033202,              0.0033202
                      2,                 1.1968,                 1.8635,                 1.3376,                0.58965,                0.37838,                0.40566,                0.27235,                 1.1397,                 1.8941,                 1.3403,              0.0065876,              0.0065876,              0.0065876
                      3,                 1.2296,                 1.8295,                 1.3599,                0.38663,                0.15415,                0.11023,                0.06318,                 1.4675,                 3.9934,                 1.6102,              0.0097891,              0.0097891,              0.0097891
                      4,                 1.3199,                 1.9467,                 1.4133,                0.53863,                0.37099,                 0.3708,                0.24142,                 1.2785,                 2.0472,                 1.4284,               0.009703,               0.009703,               0.009703
                      5,                 1.2764,                 1.7613,                 1.3806,                0.57914,                0.37437,                0.41784,                0.26191,                 1.2752,                  1.877,                 1.4559,               0.009604,               0.009604,               0.009604
                      6,                  1.247,                 1.6353,                 1.3675,                0.58127,                 0.4413,                0.45405,                0.30038,                 1.1814,                 1.6864,                 1.3644,               0.009505,               0.009505,               0.009505
                      7,                 1.2181,                 1.5306,                 1.3471,                0.56465,                0.42294,                 0.4516,                0.29722,                 1.2191,                 1.7093,                 1.4011,               0.009406,               0.009406,               0.009406
                      8,                 1.1888,                 1.4657,                 1.3297,                0.62258,                0.48352,                0.55139,                0.37861,                 1.1648,                 1.4858,                 1.3514,               0.009307,               0.009307,               0.009307
                      9,                 1.1796,                 1.3999,                 1.3217,                0.65314,                0.46991,                0.55265,                0.37959,                 1.1405,                  1.424,                 1.3355,               0.009208,               0.009208,               0.009208
                     10,                 1.1571,                 1.3345,                 1.3027,                0.62241,                0.55693,                0.57903,                0.39478,                 1.1359,                 1.3722,                 1.3267,               0.009109,               0.009109,               0.009109
                     11,                 1.1299,                 1.2695,                 1.2873,                0.64224,                0.53171,                 0.5995,                0.41571,                 1.1359,                 1.3449,                 1.3241,                0.00901,                0.00901,                0.00901
                     12,                 1.1172,                 1.2382,                 1.2838,                 0.6187,                0.53939,                0.60603,                0.41707,                 1.1321,                 1.2593,                 1.3175,               0.008911,               0.008911,               0.008911
                     13,                 1.1081,                  1.213,                 1.2821,                0.70545,                0.53163,                0.63964,                0.45008,                 1.0938,                 1.2336,                 1.2889,               0.008812,               0.008812,               0.008812
                     14,                 1.1009,                 1.1718,                 1.2756,                0.67988,                0.57281,                0.66886,                 0.4728,                 1.0843,                 1.1567,                 1.2865,               0.008713,               0.008713,               0.008713
                     15,                 1.0847,                 1.1341,                 1.2631,                 0.6319,                0.61165,                0.66455,                0.46055,                 1.1093,                 1.2015,                 1.3111,               0.008614,               0.008614,               0.008614
                     16,                 1.0737,                 1.1156,                 1.2565,                0.71398,                0.58884,                0.68378,                0.48159,                 1.0576,                 1.1037,                 1.2827,               0.008515,               0.008515,               0.008515
                     17,                 1.0597,                 1.0853,                 1.2475,                0.67029,                0.62771,                0.69219,                0.49012,                   1.07,                 1.1177,                 1.2901,               0.008416,               0.008416,               0.008416
                     18,                 1.0549,                  1.071,                 1.2486,                0.70629,                0.62451,                0.71382,                0.50751,                 1.0661,                  1.081,                  1.271,               0.008317,               0.008317,               0.008317
                     19,                 1.0421,                 1.0423,                 1.2341,                0.65566,                0.66358,                0.70646,                 0.5107,                 1.0549,                 1.0716,                  1.264,               0.008218,               0.008218,               0.008218
