                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3728,                 4.1396,                 1.7597,                0.31943,                0.22007,                0.16727,                0.10936,                 1.2924,                 2.7584,                 1.7741,             5.1211e-05,             5.1211e-05,             5.1211e-05
                      2,                 1.2646,                 2.8321,                 1.6131,                0.43594,                0.35021,                0.30653,                0.20478,                 1.2294,                 2.2568,                 1.7078,             0.00010153,             0.00010153,             0.00010153
                      3,                 1.2377,                 2.4492,                 1.5795,                0.49286,                0.39171,                0.37032,                0.24569,                 1.2138,                 2.0945,                 1.6603,             0.00015083,             0.00015083,             0.00015083
                      4,                 1.2225,                 2.2113,                 1.5618,                0.52837,                0.43222,                0.40631,                0.27107,                 1.2039,                 1.9983,                  1.688,             0.00014943,             0.00014943,             0.00014943
                      5,                 1.1729,                 2.0427,                 1.5383,                 0.5058,                0.44935,                 0.4276,                 0.2859,                 1.1799,                 1.8837,                 1.6441,              0.0001479,              0.0001479,              0.0001479
                      6,                 1.1683,                 1.9055,                 1.5285,                0.46121,                0.46574,                0.43237,                0.29504,                 1.1919,                 1.7798,                 1.6604,             0.00014638,             0.00014638,             0.00014638
                      7,                  1.133,                  1.816,                 1.5077,                0.54485,                0.45862,                0.47487,                0.31691,                  1.185,                   1.78,                 1.6397,             0.00014485,             0.00014485,             0.00014485
                      8,                 1.1246,                 1.7015,                 1.4983,                  0.546,                0.47577,                0.49027,                0.33244,                 1.1649,                 1.7056,                 1.6264,             0.00014333,             0.00014333,             0.00014333
                      9,                 1.1178,                 1.6423,                 1.4967,                0.49122,                0.51288,                0.47641,                0.32227,                 1.1629,                 1.6748,                 1.6118,              0.0001418,              0.0001418,              0.0001418
                     10,                 1.0972,                  1.587,                 1.4737,                0.56144,                0.50887,                0.51736,                0.35432,                 1.1398,                 1.5685,                 1.6297,             0.00014028,             0.00014028,             0.00014028
                     11,                 1.0771,                 1.5191,                 1.4623,                0.58083,                0.50921,                0.53518,                0.36541,                 1.1455,                 1.5354,                 1.6256,             0.00013875,             0.00013875,             0.00013875
                     12,                 1.0864,                  1.487,                 1.4735,                0.56837,                0.53909,                 0.5535,                0.37526,                 1.1362,                 1.4974,                 1.6131,             0.00013723,             0.00013723,             0.00013723
                     13,                 1.0808,                 1.4478,                 1.4689,                0.55208,                0.51481,                 0.5264,                0.36138,                 1.1541,                   1.57,                  1.614,              0.0001357,              0.0001357,              0.0001357
