                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.512,                 2.9333,                 1.6843,                0.49575,                0.52341,                0.46202,                0.27348,                 1.4167,                  2.015,                 1.5094,             0.00018425,             0.00018425,             0.00018425
                      2,                 1.3352,                 1.6898,                  1.529,                0.50186,                0.55618,                0.55775,                0.32087,                 1.6273,                 1.6704,                 1.7481,             0.00036592,             0.00036592,             0.00036592
                      3,                 1.3123,                 1.5994,                 1.5287,                0.55749,                0.51658,                0.49496,                0.25019,                 1.7829,                 1.9446,                 1.9435,             0.00054393,             0.00054393,             0.00054393
                      4,                 1.3308,                 1.5095,                 1.5506,                0.64438,                0.57004,                0.63099,                0.34639,                 1.6652,                 1.6077,                 1.8038,             0.00053949,             0.00053949,             0.00053949
                      5,                 1.2788,                 1.4617,                 1.5129,                0.57038,                0.61068,                 0.5922,                0.29971,                 1.8793,                 1.7328,                 1.9663,             0.00053398,             0.00053398,             0.00053398
                      6,                 1.2615,                 1.3779,                  1.491,                0.71457,                0.49373,                0.63589,                0.31933,                 1.9014,                 1.6778,                 2.0283,             0.00052848,             0.00052848,             0.00052848
                      7,                 1.2435,                  1.318,                 1.4659,                0.63582,                0.69021,                0.68097,                 0.3606,                 1.7125,                 1.5454,                 1.8484,             0.00052297,             0.00052297,             0.00052297
                      8,                 1.2038,                 1.2703,                 1.4521,                0.55751,                0.64917,                0.62319,                 0.3545,                 1.6086,                 1.4312,                  1.795,             0.00051747,             0.00051747,             0.00051747
                      9,                 1.1929,                 1.2142,                 1.4517,                0.69212,                0.65663,                0.72789,                0.47901,                 1.2853,                 1.2352,                 1.5343,             0.00051196,             0.00051196,             0.00051196
                     10,                 1.1913,                 1.1715,                 1.4238,                0.69718,                0.69512,                0.74163,                 0.4531,                  1.553,                 1.2767,                 1.7178,             0.00050646,             0.00050646,             0.00050646
                     11,                 1.1347,                 1.1386,                 1.4063,                0.72034,                0.66848,                0.73853,                0.46327,                 1.4497,                 1.2087,                 1.6459,             0.00050096,             0.00050096,             0.00050096
                     12,                  1.144,                 1.1172,                 1.4246,                0.73245,                0.69896,                0.71459,                0.44003,                 1.5548,                 1.2707,                  1.742,             0.00049545,             0.00049545,             0.00049545
                     13,                  1.108,                 1.0801,                 1.3804,                0.74054,                0.71992,                0.76297,                0.50242,                 1.3173,                 1.1145,                 1.5529,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.1061,                 1.0338,                 1.3906,                0.62569,                0.66497,                0.70423,                0.46118,                 1.2368,                 1.4293,                  1.508,             0.00048444,             0.00048444,             0.00048444
                     15,                 1.0784,                 1.0158,                 1.3691,                0.76218,                0.74712,                0.79229,                0.51775,                 1.2974,                 1.0803,                 1.5171,             0.00047894,             0.00047894,             0.00047894
                     16,                 1.0823,                 1.0213,                 1.3633,                0.69728,                0.73869,                0.77356,                0.52884,                 1.2883,                 1.1132,                 1.5175,             0.00047343,             0.00047343,             0.00047343
                     17,                 1.0381,                0.98456,                 1.3501,                0.72745,                0.71564,                0.76241,                0.53316,                 1.2246,                 1.0955,                 1.5016,             0.00046793,             0.00046793,             0.00046793
                     18,                 1.0815,                0.97453,                 1.3756,                0.78997,                0.71583,                0.76096,                0.50783,                 1.3529,                  1.138,                 1.5969,             0.00046243,             0.00046243,             0.00046243
                     19,                 1.0607,                0.96018,                  1.352,                0.72505,                0.70247,                0.77669,                0.52822,                 1.1953,                 1.1319,                 1.4771,             0.00045692,             0.00045692,             0.00045692
                     20,                 1.0357,                0.92982,                 1.3414,                0.76978,                 0.7693,                0.79588,                  0.528,                 1.2948,                 1.0907,                 1.5337,             0.00045142,             0.00045142,             0.00045142
                     21,                 1.0459,                0.95461,                 1.3422,                 0.6919,                0.75163,                0.76108,                 0.5218,                 1.1453,                 1.1053,                 1.4236,             0.00044591,             0.00044591,             0.00044591
                     22,                 1.0232,                0.92791,                 1.3325,                0.75547,                0.70394,                0.77071,                0.54379,                 1.1775,                 1.1544,                 1.4462,             0.00044041,             0.00044041,             0.00044041
                     23,                 1.0366,                0.92443,                 1.3335,                0.72151,                0.75189,                0.74529,                0.52311,                 1.1362,                 1.1641,                 1.4461,              0.0004349,              0.0004349,              0.0004349
                     24,                 1.0071,                0.87937,                 1.3253,                0.70874,                 0.7074,                0.74302,                0.51033,                 1.2091,                 1.1318,                 1.5417,              0.0004294,              0.0004294,              0.0004294
                     25,                 1.0161,                0.90091,                 1.3317,                0.74231,                0.79963,                0.82155,                 0.5657,                 1.1763,                0.97859,                 1.4792,             0.00042389,             0.00042389,             0.00042389
                     26,                 1.0008,                 0.8735,                 1.3165,                0.78364,                0.75408,                 0.8312,                0.54802,                 1.3155,                  1.031,                 1.5073,             0.00041839,             0.00041839,             0.00041839
                     27,                0.98443,                0.84336,                 1.3066,                0.71868,                0.77461,                0.80279,                 0.5808,                 1.0466,                0.88562,                 1.4013,             0.00041289,             0.00041289,             0.00041289
