                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.416,                 3.0103,                 1.8943,                0.45753,                0.40083,                0.35164,                 0.1806,                 1.6005,                  2.957,                 1.9582,             0.00018425,             0.00018425,             0.00018425
                      2,                 1.3025,                 1.9921,                 1.7212,                0.64583,                0.41088,                0.50404,                0.25396,                 1.8205,                 2.0885,                 2.2314,             0.00036592,             0.00036592,             0.00036592
                      3,                 1.2976,                 1.8852,                 1.7321,                0.48069,                0.46875,                0.51233,                0.27161,                 1.7046,                 2.3393,                 2.1174,             0.00054393,             0.00054393,             0.00054393
                      4,                 1.3162,                 1.7443,                 1.7545,                0.52948,                0.49934,                 0.5232,                0.25606,                 1.8515,                 1.9461,                 2.2873,             0.00053949,             0.00053949,             0.00053949
                      5,                 1.2716,                 1.6781,                 1.7078,                0.60472,                0.52411,                0.55389,                0.26357,                 1.8905,                 2.0024,                 2.3466,             0.00053398,             0.00053398,             0.00053398
                      6,                 1.2566,                 1.5694,                 1.7068,                0.50687,                0.59807,                 0.5858,                0.25221,                 2.0436,                 1.9279,                 2.5142,             0.00052848,             0.00052848,             0.00052848
                      7,                  1.229,                 1.4783,                 1.6585,                0.45677,                0.63425,                0.55966,                0.29753,                 1.8289,                 1.7606,                 2.3866,             0.00052297,             0.00052297,             0.00052297
                      8,                 1.2025,                 1.4368,                 1.6584,                0.63273,                0.63635,                0.68223,                0.33264,                 1.8998,                 1.5968,                 2.4816,             0.00051747,             0.00051747,             0.00051747
                      9,                 1.1798,                 1.3687,                 1.6409,                0.64905,                0.62033,                0.66934,                 0.3975,                 1.5588,                 1.4563,                 1.9887,             0.00051196,             0.00051196,             0.00051196
                     10,                 1.1716,                  1.316,                 1.6211,                0.67281,                0.56303,                0.63589,                0.33159,                  1.863,                 1.5601,                 2.3434,             0.00050646,             0.00050646,             0.00050646
