                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4038,                 2.9942,                  1.862,                0.49024,                0.41497,                0.38218,                0.20716,                  1.716,                 2.5354,                 2.0815,             0.00018318,             0.00018318,             0.00018318
                      2,                  1.279,                 1.9714,                 1.6793,                0.39449,                0.48672,                 0.4416,                0.20655,                 1.8795,                 2.4514,                 2.3993,             0.00036486,             0.00036486,             0.00036486
                      3,                 1.2906,                 1.7325,                 1.7091,                0.34272,                0.57163,                0.43156,                 0.2103,                 1.7552,                 2.3333,                 2.2449,             0.00054288,             0.00054288,             0.00054288
