                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4103,                 4.0721,                 1.9363,                0.76506,                  0.125,                0.22753,                0.18012,                  1.358,                 3.6479,                 1.7188,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                  1.299,                 2.9347,                 1.8011,                0.56267,                0.45878,                0.58906,                0.30433,                 1.8274,                 2.3893,                 2.1061,             0.00019087,             0.00019087,             0.00019087
                      3,                 1.2492,                 2.3462,                 1.7063,                0.39071,                0.62067,                0.57759,                0.34494,                 1.8711,                 2.1769,                 2.1674,             0.00028694,             0.00028694,             0.00028694
                      4,                 1.2541,                 2.1111,                 1.6548,                0.92614,                0.38394,                0.57494,                0.34822,                 1.7979,                 2.6825,                 2.1087,             0.00038104,             0.00038104,             0.00038104
                      5,                 1.2387,                 2.1032,                 1.7072,                0.76103,                0.37888,                0.51289,                0.30107,                 1.8521,                 1.9882,                  2.129,             0.00047315,             0.00047315,             0.00047315
                      6,                 1.2617,                 1.9524,                 1.7207,                0.76984,                0.49044,                0.58781,                0.33619,                 1.6608,                 2.0636,                 1.9966,             0.00056329,             0.00056329,             0.00056329
                      7,                 1.3312,                 2.0373,                 1.7806,                 0.6986,                0.51503,                0.57776,                 0.3253,                 1.7335,                 1.9585,                 2.0779,             0.00065144,             0.00065144,             0.00065144
                      8,                 1.2922,                 1.6895,                  1.655,                0.81384,                0.47434,                0.65735,                0.43226,                 1.8506,                 1.7873,                 2.0696,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.2487,                 1.5917,                 1.6192,                0.78501,                0.49731,                0.69164,                0.44973,                 1.8495,                 1.7465,                  2.028,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2558,                 1.5961,                 1.6278,                 0.5974,                0.52842,                0.57015,                0.34961,                 1.8572,                 1.8418,                 2.0382,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.1048,                 1.3716,                 1.4909,                0.90277,                0.56606,                0.70568,                0.42889,                 1.7719,                 1.7138,                 1.9432,             0.00064331,             0.00064331,             0.00064331
                     12,                  1.268,                 1.6004,                 1.5984,                0.72545,                0.54737,                0.74712,                0.44239,                 1.9038,                 1.7446,                 2.0995,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.1493,                 1.3783,                   1.54,                0.61177,                0.62942,                0.64752,                0.40181,                 1.9739,                 2.0758,                 2.2685,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1632,                 1.3028,                 1.5533,                0.93214,                 0.5567,                0.66759,                0.39524,                 1.8443,                 2.2174,                 2.0195,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1569,                 1.2431,                 1.5827,                0.83116,                0.56923,                0.64582,                 0.3889,                 1.6999,                 1.7529,                 1.8936,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.2376,                 1.2963,                 1.5513,                0.54151,                0.76004,                0.74322,                0.42767,                  1.732,                 1.5829,                 1.9341,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.1546,                 1.2566,                 1.5651,                 0.4318,                0.76068,                0.79395,                0.50538,                 1.8725,                 1.5942,                 2.0952,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.1341,                 1.1687,                 1.5193,                0.88169,                 0.6022,                0.76183,                0.43055,                 1.8738,                 1.5942,                 2.1315,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.1604,                 1.1851,                 1.5596,                0.90453,                0.61372,                0.77384,                 0.4596,                 1.7616,                 1.7685,                 1.9839,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.0648,                0.96326,                 1.4391,                0.93719,                0.63278,                0.79944,                0.53601,                 1.6592,                 1.4739,                  1.861,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0628,                0.99945,                 1.4601,                0.78191,                0.79358,                0.87602,                0.43941,                 1.9942,                 1.3264,                 2.2725,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0446,                0.86681,                 1.4296,                0.71539,                0.82832,                0.83075,                0.41784,                 2.1385,                  1.428,                 2.4449,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.0722,                0.92902,                 1.4734,                0.66571,                0.75709,                0.76558,                0.40731,                 2.1438,                 1.4134,                 2.4922,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.0925,                 1.0189,                 1.5043,                0.83752,                 0.7594,                0.86974,                0.53225,                 1.7759,                 1.2052,                 2.1049,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.0666,                0.94379,                 1.4318,                0.83725,                0.80382,                0.89719,                0.55321,                 1.6294,                 1.1449,                 1.9648,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.1143,                 1.0008,                 1.4938,                0.93087,                0.79835,                0.90767,                0.45737,                 1.9234,                 1.1064,                 2.2704,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0373,                0.89229,                 1.4392,                 0.8736,                0.88988,                  0.911,                0.51688,                 1.8456,                 0.9722,                 2.1829,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.0593,                0.93716,                 1.4444,                0.76722,                0.90431,                0.92753,                0.56719,                 1.7486,                0.99239,                 2.0726,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0142,                0.86276,                 1.4118,                 0.7683,                0.77837,                0.84417,                0.45299,                 1.9474,                 1.3061,                 2.2653,             0.00051608,             0.00051608,             0.00051608
                     30,                0.99556,                0.97853,                   1.41,                0.83315,                0.76093,                0.90563,                  0.526,                 1.7461,                  1.066,                 2.1729,             0.00050901,             0.00050901,             0.00050901
                     31,                0.99249,                0.82513,                 1.3892,                0.61471,                0.87103,                0.90304,                0.52538,                 1.7227,                 1.0713,                 2.1118,             0.00050194,             0.00050194,             0.00050194
                     32,                0.92573,                0.96088,                 1.3676,                 0.6444,                0.80798,                0.89193,                0.53859,                 1.7997,                 1.1482,                 2.1143,             0.00049487,             0.00049487,             0.00049487
                     33,                0.98366,                0.90053,                 1.4051,                0.82206,                0.80509,                0.86822,                0.54641,                 1.7336,                 1.1803,                 2.0143,              0.0004878,              0.0004878,              0.0004878
